,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement
,0.83,2.730,2.240,0.83,3.311,2.506,0.83,12.173,4.340,0.83,3.805,1.445,0.83,2.257,1.203,0.83,5.243,2.812,0.83,4.926,2.578,0.83,4.079,3.874,0.83,2.718,1.303,0.83,5.746,3.965
,0.84,2.717,2.242,0.84,3.345,2.536,0.84,13.144,4.656,0.84,3.719,1.436,0.84,2.248,1.199,0.84,5.218,2.799,0.84,4.922,2.576,0.84,4.024,3.828,0.84,2.733,1.309,0.84,5.720,3.941
,0.85,2.728,2.248,0.85,3.363,2.560,0.85,2.015,1.763,0.85,3.660,1.433,0.85,2.246,1.196,0.85,5.161,2.773,0.85,4.931,2.580,0.85,4.021,3.825,0.85,2.749,1.315,0.85,5.715,3.934
,0.86,2.715,2.249,0.86,3.394,2.589,0.86,8.717,3.213,0.86,4.015,1.509,0.86,2.241,1.192,0.86,5.117,2.751,0.86,4.936,2.582,0.86,4.088,3.883,0.86,2.748,1.320,0.86,5.736,3.948
,0.87,2.721,2.255,0.87,3.394,2.607,0.87,9.256,3.367,0.87,4.669,1.631,0.87,2.245,1.189,0.87,5.075,2.730,0.87,4.932,2.580,0.87,4.070,3.868,0.87,2.760,1.326,0.87,5.721,3.932
,0.88,2.718,2.259,0.88,3.429,2.637,0.88,12.401,4.435,0.88,4.599,1.625,0.88,2.241,1.185,0.88,5.069,2.723,0.88,4.930,2.579,0.88,4.054,3.855,0.88,2.788,1.332,0.88,5.741,3.947
,0.89,2.722,2.265,0.89,3.436,2.657,0.89,9.693,3.504,0.89,4.328,1.585,0.89,2.235,1.181,0.89,5.024,2.700,0.89,4.933,2.579,0.89,4.022,3.828,0.89,2.788,1.338,0.89,5.744,3.946
,0.8,2.723,2.230,0.8,3.239,2.429,0.8,11.942,4.252,0.8,3.736,1.407,0.8,2.267,1.214,0.8,5.306,2.848,0.8,4.928,2.581,0.8,4.086,3.877,0.8,2.734,1.286,0.8,5.727,3.959
,0.91,2.700,2.270,0.91,3.457,2.700,0.91,9.484,3.443,0.91,3.658,1.486,0.91,2.236,1.174,0.91,5.630,2.954,0.91,4.934,2.579,0.91,4.057,3.858,0.91,2.787,1.350,0.91,5.754,3.948
,0.92,2.709,2.277,0.92,3.479,2.726,0.92,10.508,3.784,0.92,3.842,1.527,0.92,2.235,1.170,0.92,5.637,2.954,0.92,4.930,2.577,0.92,4.054,3.856,0.92,2.772,1.356,0.92,5.758,3.948
,0.93,2.702,2.281,0.93,3.478,2.744,0.93,9.912,3.585,0.93,3.876,1.540,0.93,2.222,1.166,0.93,4.819,2.595,0.93,4.926,2.575,0.93,4.062,3.862,0.93,2.797,1.363,0.93,5.771,3.955
,0.94,2.708,2.288,0.94,3.508,2.774,0.94,9.947,3.599,0.94,3.649,1.512,0.94,2.222,1.162,0.94,4.811,2.585,0.94,4.920,2.572,0.94,4.021,3.827,0.94,2.796,1.370,0.94,5.778,3.958
,0.95,2.700,2.292,0.95,3.401,2.747,0.95,10.640,3.841,0.95,7.255,2.289,0.95,2.221,1.158,0.95,4.786,2.569,0.95,4.941,2.581,0.95,4.038,3.841,0.95,2.822,1.376,0.95,5.787,3.963
,0.96,2.696,2.297,0.96,3.412,2.769,0.96,8.322,3.142,0.96,3.619,1.527,0.96,2.222,1.155,0.96,4.756,2.550,0.96,4.925,2.574,0.96,4.024,3.830,0.96,2.792,1.383,0.96,5.805,3.977
,0.97,2.695,2.303,0.97,3.433,2.795,0.97,8.460,3.183,0.97,4.116,1.614,0.97,2.212,1.150,0.97,4.717,2.526,0.97,4.930,2.574,0.97,4.011,3.818,0.97,2.810,1.389,0.97,5.802,3.970
,0.98,2.701,2.310,0.98,3.426,2.808,0.98,12.792,4.603,0.98,4.139,1.622,0.98,2.220,1.147,0.98,4.649,2.489,0.98,4.910,2.565,0.98,4.001,3.810,0.98,2.847,1.395,0.98,5.809,3.973
,0.99,2.697,2.315,0.99,3.447,2.835,0.99,9.606,3.507,0.99,4.124,1.629,0.99,2.214,1.143,0.99,4.578,2.450,0.99,4.915,2.566,0.99,3.993,3.802,0.99,2.861,1.401,0.99,5.818,3.978
,0.9,2.710,2.267,0.9,3.436,2.674,0.9,12.690,4.536,0.9,3.651,1.475,0.9,2.230,1.177,0.9,5.030,2.699,0.9,4.931,2.578,0.9,4.079,3.876,0.9,2.822,1.344,0.9,5.745,3.943
,1.01,2.700,2.328,1.01,3.496,2.893,1.01,9.770,3.565,1.01,4.093,1.642,1.01,2.219,1.135,1.01,4.568,2.432,1.01,4.958,2.587,1.01,3.991,3.800,1.01,2.823,1.415,1.01,5.839,3.991
,1.02,2.703,2.335,1.02,3.505,2.915,1.02,8.729,3.274,1.02,4.116,1.654,1.02,2.219,1.132,1.02,4.555,2.420,1.02,4.974,2.595,1.02,3.974,3.785,1.02,2.820,1.423,1.02,5.852,4.000
,1.03,2.718,2.345,1.03,3.506,2.932,1.03,8.412,3.197,1.03,4.031,1.654,1.03,2.214,1.127,1.03,4.601,2.434,1.03,4.970,2.593,1.03,3.997,3.804,1.03,2.826,1.430,1.03,5.857,4.003
,1.04,2.710,2.349,1.04,3.521,2.958,1.04,11.040,4.021,1.04,7.611,2.408,1.04,2.208,1.123,1.04,4.535,2.397,1.04,4.976,2.594,1.04,3.978,3.789,1.04,2.836,1.436,1.04,5.866,4.008
,1.05,2.718,2.358,1.05,3.540,2.986,1.05,8.701,3.283,1.05,3.908,1.658,1.05,2.212,1.120,1.05,4.624,2.432,1.05,4.967,2.591,1.05,3.994,3.802,1.05,2.844,1.443,1.05,5.877,4.014
